# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250301
# Fecha de finalización: 20250331
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
"PowerLED 6W RGB 2,6 m - Vulcano SA",0,11,3,9,8,1,9,1.2222222222222223,18,31
PowerLED 6W luz blanca 10 m - Vulcano SA,0,6,3,5,2,0,5,1.2,29.8,15
"PowerLED 6W luz blanca 2,6 m - Vulcano SA",0,7,3,5,4,0,5,1.4,102.8,24
PowerLED 9W luz blanca 10 m - Vulcano SA,0.1111111111111111,9,3,5,4,0,5,1.8,11.2,24
PowerLED 9W luz blanca 5 m - Vulcano SA,0,4,3,2,2,0,2,2,108.5,11
Startseite - Vulcano SA,0.1111111111111111,0,3,5,1,0,5,0,54.8,55
Timer Plus 36W - Vulcano SA,0.06896551724137931,28,3,22,9,10,21,1.3333333333333333,20.047619047619047,86
Tubo flexible PVC ø40 mm (Hidroflex) - Vulcano SA,0.14285714285714285,7,3,6,4,3,6,1.1666666666666667,21,28
Tubo flexible PVC ø50 mm (Hidroflex) - Vulcano SA,0.08333333333333333,11,3,9,5,3,9,1.2222222222222223,14.666666666666666,30
Válvula de retención PN16 HH ø63 mm (para pegar) - Vulcano SA,0,8,3,8,4,0,8,1,34.25,22
Válvula esférica PN16 HH ø40 mm (para pegar) - Vulcano SA,0,18,3,13,10,0,13,1.3846153846153846,30.615384615384617,52
Bomba autodrenante BAD 050 2-S - Vulcano SA,0.2,3,2,3,3,0,3,1,12.333333333333334,10
Bomba autodrenante BAD 100 2-S - Vulcano SA,0.07142857142857142,15,2,11,9,1,11,1.3636363636363635,31.545454545454547,41
Bomba autodrenante BAD 125 - Vulcano SA,0,17,2,13,8,0,12,1.4166666666666667,79.58333333333333,39
Bomba centrífuga ECT-100 - Vulcano SA,0,12,2,11,3,1,11,1.0909090909090908,12.090909090909092,25
Bomba sumergible Q2501 - Vulcano SA,0,17,2,14,5,2,14,1.2142857142857142,47.214285714285715,40
Carro para filtro VC-20 - Vulcano SA,0,12,2,8,6,0,8,1.5,25.75,25
Cascada Riviera 44 - Vulcano SA,0.08333333333333333,12,2,9,6,0,9,1.3333333333333333,16.11111111111111,30
"Cascada plástica ABS 050 (1 1/2"") - Vulcano SA",0,4,2,4,3,0,4,1,5.5,8
Colector con salida lateral PN10 - PN16 ø50 mm (para pegar) - Vulcano SA,0,5,2,5,3,0,5,1,20,13
Colector con salida lateral PN10 - PN16 ø63 mm (para pegar) - Vulcano SA,0.2222222222222222,8,2,5,4,0,5,1.6,22.6,30
Curva 90° PN16 HH ø63 mm (para pegar) - Vulcano SA,0.5,2,2,1,1,0,1,2,171,7
Escalera Confort 3 ABS - Vulcano SA,0.08333333333333333,11,2,9,8,1,9,1.2222222222222223,7.777777777777778,34
Filtro de Piscina VC-30 - Vulcano SA,0,0,2,1,0,0,1,0,217,5
Fuente Switching 5A (60W) - Vulcano SA,0,9,2,6,5,1,6,1.5,21.833333333333332,26
Fuente de alimentación sellada 30W - Vulcano SA,0,2,2,2,2,0,2,1,103.5,6
Fuente de alimentación sellada 40W - Vulcano SA,0,5,2,4,2,0,4,1.25,10.5,12
Heat pump POOL-INVERTER 25 - Vulcano SA,0,0,2,1,0,0,1,0,23,4
Luminaria para adosar BiPin 100W (LE) - Vulcano SA,0,18,2,16,8,1,16,1.125,64.125,50
Luminaria para embutir BiPin 100W (LE) - Vulcano SA,0,15,2,13,2,4,11,1.3636363636363635,28.363636363636363,42
"PowerLED 18W luz blanca 2,6 m - Vulcano SA",0,3,2,3,1,0,3,1,25,8
PowerLED 9W RGB 10 m - Vulcano SA,0,5,2,5,2,0,5,1,34.6,15
Tapón hembra PN16 ø63 mm (para pegar) - Vulcano SA,0,1,2,1,0,0,1,1,15,4
Unión doble PN16 HH ø40 mm (para pegar) - Vulcano SA,0,9,2,7,5,0,7,1.2857142857142858,12.714285714285714,21
Válvula esférica PN16 HH ø50 mm (para pegar) - Vulcano SA,0,14,2,12,8,1,12,1.1666666666666667,24,39
主页 - Vulcano SA,0.05263157894736842,1,2,14,4,1,14,0.07142857142857142,27,144
Bomba autodrenante BAD 075 2-S - Vulcano SA,0.1,9,1,9,4,0,8,1.125,36,21
Bomba autodrenante BAD 125 2-S - Vulcano SA,0,19,1,14,6,2,13,1.4615384615384615,62.84615384615385,47
Bomba para piscina BAT 050 - 0.50HP 220V monofásica - Vulcano SA,0.017857142857142856,53,1,47,25,1,46,1.1521739130434783,32.06521739130435,126
Bomba sumergible Q1000B1 - Vulcano SA,0,8,1,9,4,0,9,0.8888888888888888,39.666666666666664,16
Bomba sumergible Q9001 - Vulcano SA,0.1111111111111111,8,1,8,6,0,8,1,146.625,18
Carro para filtro VC-10 - Vulcano SA,0.2,10,1,8,7,2,8,1.25,24.875,32
Carro para filtro VC-30 - Vulcano SA,0,5,1,4,3,0,4,1.25,43.25,13
Cascada Riviera 62 - Vulcano SA,0.0625,16,1,13,8,3,13,1.2307692307692308,20.846153846153847,44
"Cascada plástica ABS 030 (1 1/2"") - Vulcano SA",0,2,1,2,1,0,2,1,26.5,6
"Cascada plástica ABS 040 (1 1/2"") - Vulcano SA",0,5,1,5,3,0,5,1,38.4,13
"Cascada plástica ABS 160 (1 1/2"") - Vulcano SA",0,2,1,2,2,0,2,1,16,9
"Cascada plástica ABS 200 (1 1/2"") - Vulcano SA",0,2,1,2,1,0,2,1,11,5
Cascada plástica ABS 200 (ø50) - Vulcano SA,0,5,1,4,0,2,4,1.25,12.75,17
Codo 90° PN16 HH ø50 mm (para pegar) - Vulcano SA,0,4,1,4,3,0,4,1,21.25,12
Easy Pool Touch 63W - Vulcano SA,0,6,1,6,3,1,6,1,44.666666666666664,18
Fuente Switching 3A (36W) - Vulcano SA,0.2,8,1,6,5,0,6,1.3333333333333333,53,24
"Fuente Switching 8,3A (100W) - Vulcano SA",0,9,1,4,3,1,4,2.25,54.25,22
Fuente de alimentación sellada 60W - Vulcano SA,0.3333333333333333,2,1,2,2,0,2,1,24,8
Luminaria spot blanco LED RGB-12 FV - Vulcano SA,0,3,1,3,2,0,3,1,14.666666666666666,6
Luminaria spot cromado Dicroica 50W Hormigón - Vulcano SA,0,3,1,3,2,0,3,1,11.666666666666666,8
Luz cascada RGB 40 cm / 4W - Vulcano SA,0,5,1,4,1,1,4,1.25,39.5,17
Luz cascada RGB 50 cm / 5W - Vulcano SA,0,10,1,8,5,0,8,1.25,61,28
"Manguito PN16 ø63 mm - RM 2"" (para pegar y roscar) - Vulcano SA",0,4,1,4,2,0,4,1,15.5,15
PN16 Außengewinde ø50 mm (zum Verkleben) - Vulcano SA,0,0,1,1,1,0,1,0,23,2
Pool-Inverter 110 热泵 - Vulcano SA,0,0,1,1,1,0,1,0,15,2
PowerLED 18W RGB 10 m - Vulcano SA,0,9,1,6,4,0,6,1.5,50.166666666666664,23
"PowerLED 4,5W luz blanca 2,6 m - Vulcano SA",0,7,1,6,3,0,6,1.1666666666666667,24.5,15
"PowerLED 6W luz azul 2,6 m - Vulcano SA",0,22,1,19,9,0,19,1.1578947368421053,18.36842105263158,49
PowerLED 6W luz blanca 5 m - Vulcano SA,0,5,1,5,3,0,5,1,11.2,10
PowerLED 9W RGB 5 m - Vulcano SA,0.1111111111111111,8,1,7,3,3,7,1.1428571428571428,9,21
Smallmouth Skimmer H - Vulcano SA,0,0,1,1,0,0,1,0,154,1
Tee 90° Reducción PN16 HH ø40 - ø20 mm (para pegar) - Vulcano SA,0,1,1,1,1,0,1,1,4,3
Tubo flexible PVC ø63 mm (Hidroflex) - Vulcano SA,0,5,1,5,1,2,5,1,11.2,16
Unión doble PN16 HH ø50 mm (para pegar) - Vulcano SA,0,6,1,6,2,2,6,1,10.666666666666666,20
"Unión doble PN16 ø40 mm - RM 1 1/4"" (para pegar y roscar) - Vulcano SA",0.2857142857142857,5,1,5,2,3,5,1,25.4,20
"Unión doble PN16 ø63 mm - RM 2"" (para pegar y roscar) - Vulcano SA",0,7,1,7,2,2,6,1.1666666666666667,25.833333333333332,19
