# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250401
# Fecha de finalización: 20250430
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Controlador 54W para luminaria RGB - Vulcano SA,0,18,5,18,4,9,18,1,15.944444444444445,57
Ducha solar para piscina columna gris - Vulcano SA,0.1,10,5,9,7,3,9,1.1111111111111112,20.333333333333332,35
Ducha solar para piscina hoja verde - Vulcano SA,0.15384615384615385,14,5,10,7,3,10,1.4,37.5,46
Escalera Confort 4 ABS - Vulcano SA,0,11,5,10,4,0,10,1.1,20.1,29
Timer Plus 36W - Vulcano SA,0.07142857142857142,28,5,20,10,8,20,1.4,49,90
Bomba autodrenante BAD 100 - Vulcano SA,0,22,4,16,8,5,16,1.375,33.625,60
Bomba autodrenante BAD 100 2-S - Vulcano SA,0.08333333333333333,13,4,11,6,0,11,1.1818181818181819,96.18181818181819,33
Bomba centrífuga ECM-050 - Vulcano SA,0.11764705882352941,16,4,11,5,0,10,1.6,53.3,43
Bomba para piscina BAE 125 - 1.25HP 220V monofásica - Vulcano SA,0.12121212121212122,39,4,27,14,7,27,1.4444444444444444,34.74074074074074,105
Bomba para piscina BAP 033 – 0.33HP 220V monofásica - Vulcano SA,0.022222222222222223,50,4,39,22,1,38,1.3157894736842106,52.18421052631579,107
Bomba para piscina BAP 100-3 (MI) - 1.00HP 220V/380V trifásica - Vulcano SA,0.05263157894736842,21,4,18,11,0,18,1.1666666666666667,21.055555555555557,47
Bomba para piscina BAT 050 - 0.50HP 220V monofásica - Vulcano SA,0.11538461538461539,27,4,23,5,8,23,1.173913043478261,51.34782608695652,84
Bomba para piscina BAT 075 - 0.75HP 220V monofásica - Vulcano SA,0.10526315789473684,39,4,31,14,8,31,1.2580645161290323,52.29032258064516,103
"Cascada plástica ABS 160 (1 1/2"") - Vulcano SA",0.16666666666666666,4,4,4,2,0,3,1.3333333333333333,3.3333333333333335,13
Cascada plástica ABS 240 (ø50) - Vulcano SA,0,7,4,6,4,1,6,1.1666666666666667,35,21
Controlador 72W para luminaria RGB - Vulcano SA,0.09523809523809523,23,4,18,9,5,18,1.2777777777777777,25.27777777777778,64
Escalera Confort 3 ABS - Vulcano SA,0.1875,13,4,11,8,0,11,1.1818181818181819,17.363636363636363,35
POOL-INVERTER DH 80 - Vulcano SA,0.02564102564102564,48,4,35,21,6,35,1.3714285714285714,66.37142857142857,116
PowerLED 6W luz blanca 10 m - Vulcano SA,0.14285714285714285,6,4,6,4,1,6,1,33.166666666666664,19
"PowerLED 9W luz blanca 2,6 m - Vulcano SA",0.1,9,4,8,3,0,8,1.125,30.25,26
Press Control PCA 15 - Vulcano SA,0.08333333333333333,11,4,7,4,1,7,1.5714285714285714,17.142857142857142,30
