# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250601
# Fecha de finalización: 20250630
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Buje de reducción PN16 ø50 - ø40 mm (para pegar) - Vulcano SA,0.16666666666666666,6,3,5,5,1,5,1.2,31.6,20
Carro para filtro VC-30 - Vulcano SA,0.16666666666666666,6,3,5,5,0,5,1.2,38.4,21
Cascada plástica ABS 030 (ø50) - Vulcano SA,0,9,3,8,4,0,8,1.125,12.625,21
Cascada plástica ABS 040 (ø50) - Vulcano SA,0,14,3,10,6,2,10,1.4,12.4,33
Cascada plástica ABS 120 (ø50) - Vulcano SA,0.1,10,3,6,6,0,6,1.6666666666666667,13.5,23
Easy Pool Touch 36W - Vulcano SA,0,6,3,6,2,1,6,1,37,17
Escalera Confort 4 ABS - Vulcano SA,0,13,3,10,7,0,10,1.3,14.2,34
"Fuente Switching 8,3A (100W) - Vulcano SA",0,5,3,4,4,0,4,1.25,34.75,17
LUMIPOOL 4W luz blanca - Vulcano SA,0.1111111111111111,40,3,25,14,1,25,1.6,42.24,91
Luminaria para adosar BiPin 100W (LR) - Vulcano SA,0,10,3,7,4,0,7,1.4285714285714286,35.857142857142854,27
Luminaria spot blanco Dicroica 50W Hormigón - Vulcano SA,0,11,3,7,3,1,6,1.8333333333333333,62.833333333333336,28
Luminaria spot blanco LED RGB-12 Hormigón - Vulcano SA,0,14,3,6,2,1,6,2.3333333333333335,20.833333333333332,30
PowerLED 18W RGB 10 m - Vulcano SA,0,14,3,12,3,2,11,1.2727272727272727,30.545454545454547,34
"PowerLED 6W luz blanca 2,6 m - Vulcano SA",0,3,3,3,2,0,3,1,24.333333333333332,10
PowerLED 9W RGB 10 m - Vulcano SA,0,7,3,7,4,0,7,1,22.142857142857142,20
Tubo flexible PVC ø63 mm (Hidroflex) - Vulcano SA,0.125,8,3,6,2,3,6,1.3333333333333333,40.166666666666664,27
"Unión doble PN16 ø63 mm - RM 2"" (para pegar y roscar) - Vulcano SA",0.2222222222222222,7,3,6,4,3,6,1.1666666666666667,9.333333333333334,26
Bomba autodrenante BAD 075 2-S - Vulcano SA,0,9,2,8,4,1,8,1.125,49.25,30
Bomba para piscina BAT 050 - 0.50HP 220V monofásica - Vulcano SA,0.07894736842105263,40,2,25,15,2,25,1.6,30.68,94
Bomba para piscina BAT 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.047619047619047616,22,2,19,7,2,19,1.1578947368421053,24.05263157894737,56
Bomba sopladora 700W - Vulcano SA,0.16666666666666666,6,2,5,4,0,5,1.2,16,18
Carro para filtro (base plástica) - Vulcano SA,0,9,2,7,6,1,7,1.2857142857142858,19.285714285714285,25
Carro para filtro VC-10 - Vulcano SA,0.23076923076923078,11,2,8,6,3,8,1.375,91.625,39
Cascada Arrecife 47 - Vulcano SA,0,17,2,11,11,0,11,1.5454545454545454,11.363636363636363,38
Cascada Riviera 62 - Vulcano SA,0.25,15,2,9,7,0,9,1.6666666666666667,8.333333333333334,42
"Cascada plástica ABS 030 (1 1/2"") - Vulcano SA",0.2,8,2,7,3,3,7,1.1428571428571428,13.714285714285714,26
Cascada plástica ABS 200 (ø50) - Vulcano SA,0,8,2,5,5,0,5,1.6,13.2,17
Codo 90° PN16 HH ø40 mm (para pegar) - Vulcano SA,0,9,2,8,5,2,8,1.125,22,27
Controlador 90W para luminaria RGB - Vulcano SA,0.16666666666666666,5,2,5,4,0,5,1,25.2,15
Easy Pool Touch 63W - Vulcano SA,0,8,2,7,1,4,7,1.1428571428571428,12.428571428571429,22
Escalera Confort 2 ABS - Vulcano SA,0,8,2,6,6,0,6,1.3333333333333333,8.5,25
Fuente Switching 2A (24W) - Vulcano SA,0,7,2,6,5,2,6,1.1666666666666667,22.5,25
Fuente Switching 3.2A (40W) - Vulcano SA,0,8,2,7,4,0,7,1.1428571428571428,25.142857142857142,16
Fuente Switching 5A (60W) - Vulcano SA,0,5,2,5,4,1,5,1,15.2,17
Fuente de alimentación sellada 100W - Vulcano SA,0,3,2,3,1,1,3,1,56,11
Fuente de alimentación sellada 200W - Vulcano SA,0.1111111111111111,8,2,7,5,0,7,1.1428571428571428,26.714285714285715,22
Hidromasajeador AISI 316 p/insertar - Vulcano SA,0.25,3,2,3,3,0,3,1,33.666666666666664,11
Luminaria para adosar BiPin 100W (LE) - Vulcano SA,0.14285714285714285,26,2,15,9,3,14,1.8571428571428572,42.214285714285715,75
Luminaria para embutir BiPin 100W (LR) - Vulcano SA,0,5,2,5,3,1,5,1,25.8,17
Luminaria spot blanco Dicroica 50W FV - Vulcano SA,0,5,2,4,2,0,4,1.25,269.25,14
Luminaria spot cromado Dicroica 50W FV - Vulcano SA,0,3,2,4,2,0,4,0.75,26.5,10
Luz cascada RGB 80 cm / 8W - Vulcano SA,0,17,2,13,3,10,13,1.3076923076923077,23.076923076923077,60
POOL-INVERTER 25 heat pump - Vulcano SA,0,0,2,2,1,0,2,0,26.5,4
"PowerLED 18W luz blanca 2,6 m - Vulcano SA",0,4,2,3,2,1,3,1.3333333333333333,11.666666666666666,12
"PowerLED 4,5W luz blanca 2,6 m - Vulcano SA",0,7,2,7,4,0,7,1,20.428571428571427,16
PowerLED 6W luz blanca 5 m - Vulcano SA,0,11,2,8,2,3,8,1.375,27.125,25
Tubo flexible PVC ø50 mm (Hidroflex) - Vulcano SA,0.125,9,2,7,3,2,7,1.2857142857142858,28.142857142857142,25
Anclaje para ducha - Vulcano SA,0,9,1,6,5,1,6,1.5,20.333333333333332,24
Bomba autodrenante BAD 050 2-S - Vulcano SA,0,16,1,12,4,2,11,1.4545454545454546,15.181818181818182,38
Bomba autodrenante BAD 100 2-S - Vulcano SA,0.05263157894736842,20,1,15,6,3,15,1.3333333333333333,41.733333333333334,54
Bomba centrífuga ECT-100 - Vulcano SA,0.1875,14,1,11,5,1,11,1.2727272727272727,29.09090909090909,38
"Bomba de piscina BAP 100 - 1,00HP 220V monofásica - Vulcano SA",0,0,1,1,0,0,1,0,180,2
Bomba para piscina BAP 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.01694915254237288,62,1,57,14,2,57,1.087719298245614,38.10526315789474,153
