# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250501
# Fecha de finalización: 20250531
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Bomba para piscina BAF 033 (AL) - 0.33HP 220V monofásica - Vulcano SA,0.038461538461538464,60,8,45,17,14,44,1.3636363636363635,43.88636363636363,174
Bomba para piscina BAP 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.06060606060606061,72,8,60,19,2,60,1.2,45.766666666666666,178
Cascada Cisne 108* - Vulcano SA,0.03125,36,8,21,15,3,21,1.7142857142857142,22.095238095238095,97
Cascada Palma 46 - Vulcano SA,0.06818181818181818,48,8,35,17,10,32,1.5,15.96875,127
Cascada Riviera 44 - Vulcano SA,0.11764705882352941,17,8,15,5,2,15,1.1333333333333333,26,54
Colector Solar Plac 2.2 - Vulcano SA,0.07142857142857142,27,8,23,12,3,22,1.2272727272727273,32.5,73
Controlador 72W para luminaria RGB - Vulcano SA,0.09302325581395349,40,8,34,17,4,32,1.25,29.3125,112
Ducha solar para piscina hoja verde - Vulcano SA,0.125,24,8,19,10,7,19,1.263157894736842,42.94736842105263,79
Escalera Confort 3 AISI - Vulcano SA,0.10344827586206896,30,8,24,14,5,23,1.3043478260869565,16.130434782608695,95
Fuente Switching 10A (120W) - Vulcano SA,0.07692307692307693,13,8,11,4,7,11,1.1818181818181819,21.272727272727273,54
PowerLED 9W luz azul 2,6 m - Vulcano SA,0,43,8,35,18,1,35,1.2285714285714286,52.17142857142857,107
Bomba autodrenante BAD 100 2-S - Vulcano SA,0,9,7,8,4,2,8,1.125,47.75,31
Bomba para piscina BAE 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.0625,55,7,40,12,0,40,1.375,26.95,129
"Cascada plástica ABS 120 (1 1/2"") - Vulcano SA,0.047619047619047616,22,7,19,6,11,17,1.2941176470588236,19.294117647058822,79"
Casilla soplada fondo plano - Vulcano SA,0.09523809523809523,22,7,18,11,1,18,1.2222222222222223,33.666666666666664,60
PowerLED 6W luz azul 2,6 m - Vulcano SA,0.041666666666666664,24,7,22,7,0,22,1.0909090909090908,25.727272727272727,62
Bomba para piscina BAP 050 - 0.50HP 220V monofásica - Vulcano SA,0.08247422680412371,99,6,73,35,5,73,1.356164383561644,51.917808219178085,246
Bomba para piscina BAP 100-3 (MI) - 1.00HP 220V/380V trifásica - Vulcano SA,0.027777777777777776,39,6,32,12,1,32,1.21875,27.1875,95
Cascada Arrecife 47 - Vulcano SA,0.038461538461538464,28,6,21,13,3,21,1.3333333333333333,21.714285714285715,72
Cascada plástica ABS 160 (ø50) - Vulcano SA,0,9,6,8,2,6,7,1.2857142857142858,19.714285714285715,39
Cascada plástica ABS 200 (ø50) - Vulcano SA,0.2,7,6,6,3,0,6,1.1666666666666667,15,20
Escalera Confort 4 AISI - Vulcano SA,0.1,37,6,27,15,5,25,1.48,44.4,101
LUMIPOOL 9W luz blanca - Vulcano SA,0.19047619047619047,17,6,16,12,1,16,1.0625,12.75,52
Luminaria para adosar BiPin 100W (LR) - Vulcano SA,0.047619047619047616,23,6,16,10,3,16,1.4375,29.9375,59
Luminaria subacuática LED RGB-28 - Vulcano SA,0.030303030303030304,41,6,30,6,7,30,1.3666666666666667,44.9,99
PowerLED 18W RGB 2,6 m - Vulcano SA,0.058823529411764705,16,6,13,6,4,13,1.2307692307692308,31.384615384615383,52
PowerLED 9W RGB 2,6 m - Vulcano SA,0.08333333333333333,21,6,16,9,2,16,1.3125,17.3125,59
Tubo flexible PVC ø50 mm (Hidroflex) - Vulcano SA,0.08333333333333333,12,6,9,3,4,9,1.3333333333333333,17.88888888888889,40
Bomba autodrenante BAD 050 - Vulcano SA,0,14,5,13,9,1,13,1.0769230769230769,129.84615384615384,38
Bomba centrífuga ECM-050 - Vulcano SA,0.08333333333333333,12,5,11,8,0,11,1.0909090909090908,97.18181818181819,32
Bomba para piscina BAC 300 - 2.70HP 220V monofásica - Vulcano SA,0.07547169811320754,50,5,42,23,5,42,1.1904761904761905,48.142857142857146,120
Bomba para piscina BAE 125 - 1.25HP 220V monofásica - Vulcano SA,0.10204081632653061,57,5,43,14,13,42,1.3571428571428572,38.69047619047619,158
Bomba para piscina BAS 033 - 0.33HP 220V monofásica - Vulcano SA,0.1111111111111111,40,5,29,11,6,29,1.3793103448275863,29.93103448275862,119
PowerLED 4,5W luz blanca 2,6 m - Vulcano SA,0,21,5,14,8,3,14,1.5,66.14285714285714,60
PowerLED 9W RGB 5 m - Vulcano SA,0,15,5,12,5,5,11,1.3636363636363635,27.181818181818183,46
Press Control PCA 15 - Vulcano SA,0.05555555555555555,15,5,13,7,5,12,1.25,36.75,49
Press Control PCA 22 - Vulcano SA,0,19,5,19,7,8,18,1.0555555555555556,30.38888888888889,62
SuperLED luz blanca 4W - Vulcano SA,0,17,5,13,7,0,13,1.3076923076923077,12.307692307692308,35
Válvula esférica PN16 HH ø50 mm (para pegar) - Vulcano SA,0.2,12,5,11,7,2,11,1.0909090909090908,17.363636363636363,36
Bomba autodrenante BAD 100 - Vulcano SA,0.05263157894736842,16,4,14,10,3,14,1.1428571428571428,93.28571428571429,66
Bomba para piscina BAP 125 - 1.25HP 220V monofásica - Vulcano SA,0.021739130434782608,56,4,41,15,3,40,1.4,52.75,136
Bomba para piscina BAT 100 - 1.00HP 220V monofásica - Vulcano SA,0.02564102564102564,41,4,35,14,9,34,1.2058823529411764,37.705882352941174,114
Bomba sopladora 400W - Vulcano SA,0.21428571428571427,11,4,10,5,4,10,1.1,74.5,42
Bomba sopladora 700W - Vulcano SA,0.1111111111111111,7,4,7,4,1,6,1.1666666666666667,222.33333333333334,25
Bomba sumergible Q1000B1 - Vulcano SA,0.08333333333333333,28,4,20,8,2,18,1.5555555555555556,32.333333333333336,61
Cascada Cisne 43 - Vulcano SA,0.09090909090909091,11,4,9,7,1,9,1.2222222222222223,19.77777777777778,32
Cascada Palma 78 - Vulcano SA,0.07407407407407407,27,4,20,13,3,19,1.4210526315789473,23.210526315789473,68
Cascada Salto 34 - Vulcano SA,0.16666666666666666,13,4,10,6,1,10,1.3,16,36
Cascada plástica ABS 120 (ø50) - Vulcano SA,0.125,7,4,7,4,0,7,1,22.571428571428573,21
Controlador solar MMZ - Vulcano SA,0.05,20,4,15,7,6,15,1.3333333333333333,30.133333333333333,55
Equipo de filtración portatil - Vulcano SA,0.09302325581395349,41,4,36,16,21,36,1.1388888888888888,35.05555555555556,148
Fuente de alimentación sellada 200W - Vulcano SA,0.18181818181818182,9,4,8,4,2,7,1.2857142857142858,14.428571428571429,27
Unión doble PN16 HH ø50 mm (para pegar) - Vulcano SA,0,5,4,5,2,2,5,1,28.6,20
Bomba autodrenante BAD 075 - Vulcano SA,0.1111111111111111,17,3,16,6,5,16,1.0625,23.75,52
Bomba autodrenante BAD 075 2-S - Vulcano SA,0,4,3,4,1,0,4,1,29.25,13
Bomba autodrenante BAD 125 - Vulcano SA,0.16666666666666666,9,3,9,7,1,9,1,16.11111111111111,28
Bomba centrífuga ECT-100 - Vulcano SA,0,14,3,12,4,0,12,1.1666666666666667,34.25,33
Bomba para piscina BAP 033 – 0.33HP 220V monofásica - Vulcano SA,0.08,52,3,31,17,3,31,1.6774193548387097,65.35483870967742,129
Bomba para piscina BAT 050 - 0.50HP 220V monofásica - Vulcano SA,0.02702702702702703,42,3,34,16,4,34,1.2352941176470589,40.794117647058826,97
Carro para bomba (base plástica) - Vulcano SA,0,18,3,12,5,2,12,1.5,28,45
"Cascada plástica ABS 080 (1 1/2"") - Vulcano SA,0.13333333333333333,14,3,11,7,3,11,1.2727272727272727,32.09090909090909,46"
"Cascada plástica ABS 160 (1 1/2"") - Vulcano SA,0,9,3,5,2,0,5,1.8,7.4,19"
"Cascada plástica ABS 240 (1 1/2"") - Vulcano SA,0,9,3,7,5,1,7,1.2857142857142858,25.428571428571427,28"
Controlador 90W para luminaria RGB - Vulcano SA,0,7,3,7,4,1,7,1,22,21
Dispensador de cloro - Vulcano SA,0,0,3,3,0,0,3,0,36.333333333333336,5
